"slope" "angle" "top.layer3" "bot.layer3" "vs2" "vs3" "vs4" "density" "freq" "y.hat.Combined" "Quant.Combined" "LL.Combined" "UL.Combined" "y.hat.single" "LL.single" "UL.single" "y.hat.CGP" "LL.CGP" "UL.CGP" "y.true"
"68" -1.05860059981555 0.971635948418841 -0.875841742708 0.122550153541805 -1.16556472499893 0.539780324119711 0.633827102911772 0.954435758311492 0.267098646622499 4.71713996398165 0.504 -0.728786015774064 10.275865240723 3.19891716459978 -1.55939729669454 7.95723162589409 1.21566789130072 -1.75853926428581 4.18987504688725 9.69224601104116
"73" -1.05860059981555 -1.47658061452627 -0.875841742708 0.122550153541805 -1.12420453130941 -0.405122783829561 -0.490168494067131 1.56406513893968 -1.19886538533414 4.96024140024321 0.506 -1.00903595309923 11.0188665482852 9.7109521573533 7.11968511703108 12.3022191976755 7.13489197713121 4.44770766034995 9.82207629391247 8.07500149351764
"75" -1.05860059981555 -0.558499403421853 -0.875841742708 1.27747306650122 -1.11041780007957 1.77133943110977 -0.842664154658148 -0.264823002944885 -1.19886538533414 5.30921176020401 0.485 -0.981266969034321 11.0469826162248 3.05640155693314 -1.11522100169124 7.22802411555751 2.05897077395666 -1.7512752057085 5.86921675362181 4.62465721378978
"76" -1.05860059981555 -0.558499403421853 -0.875841742708 -1.03237275941761 -1.13109789692433 1.73241083864744 -1.00228483115219 0.344806377683303 -1.19886538533414 5.87803160880334 0.494 0.042569342996536 11.2003425439853 5.75734954320362 0.662702520278414 10.8519965661288 8.25838282144232 4.18806822839849 12.3286974144862 9.62082846005591
"78" -1.05860059981555 0.359581807682563 -0.875841742708 -1.41734706373742 -1.21381828430338 -1.39957137309453 -1.28827187653736 0.344806377683303 1.73306267857914 2.49973125740945 0.518 -3.07184666417643 8.54617773861403 0.885639615601588 -1.19062055992451 2.96189979112768 2.47095020988311 -0.266938022742564 5.20883844250879 0.229706008386563
"80" -1.05860059981555 0.971635948418841 -0.875841742708 -0.262424150778001 -1.20003155307354 0.214195732616591 -1.53435375279901 -1.48408176420126 1.00008066260082 3.70808488930922 0.497 -2.1686714740938 10.1114892932668 2.66957598841519 -1.18756677316941 6.52671874999979 2.72383052413384 0.211471991791302 5.23618905647638 1.51100163445096
"82" -1.05860059981555 0.971635948418841 0.878766089094337 0.122550153541805 -1.44129934959578 0.458384176243931 1.21910291672327 -1.48408176420126 0.267098646622499 4.38434173126528 0.489 -0.908091787626741 10.3953147366305 2.87070986893693 -1.80052059069751 7.54194032857137 1.76030320152275 -1.11733910538659 4.6379455084321 5.92890075490969
"83" -1.05860059981555 0.359581807682563 0.878766089094337 1.27747306650122 -1.41372588713609 -1.2261621884896 0.926465009817522 -0.264823002944885 -0.465883369355819 5.58185853097448 0.503 -0.190436458140079 10.8579426240548 7.55692892443297 4.93671725895539 10.1771405899106 7.93211292410564 5.4820225311813 10.38220331703 5.02447995330096
"84" -1.05860059981555 0.359581807682563 0.878766089094337 -1.41734706373742 -1.43440598398086 -1.24385700324521 0.647128825952942 0.344806377683303 0.267098646622499 5.27824848800929 0.504 -0.719047891033321 11.3389648903282 3.33001114748998 -0.308060784385903 6.96808307936585 1.24158007144341 -1.99635018318548 4.47951032607231 5.84867694113669
"89" -0.062270623518562 -0.558499403421853 0.878766089094337 -1.41734706373742 -1.39304579029133 1.4032872841932 -0.47686677102596 0.954435758311492 -1.19886538533414 5.55734674283483 0.495 0.0139574400379154 11.8768632004225 2.63130712961266 -1.60762013391113 6.87023439313645 8.6531823954978 3.72243314595057 13.583931645045 9.24077835507144
"90" -0.062270623518562 -0.558499403421853 0.878766089094337 1.66244737082103 -1.40683252152117 1.51653409862907 -0.663090893602347 -0.874452383573074 -0.465883369355819 5.02441733218542 0.495 -1.01419666125526 10.8131539541556 5.45929232006147 1.8387494731826 9.07983516694034 4.1317811473664 0.035457681407113 8.22810461332568 2.32415112572964
"92" -0.062270623518562 -1.47658061452627 0.878766089094337 1.27747306650122 -1.39993915590625 -0.592687820238967 -0.988983108111023 1.56406513893968 -1.19886538533414 4.96484161810264 0.497 -0.563354975435229 10.3604254088803 5.8906423555826 1.97941707542783 9.80186763573736 3.70814443526311 0.208618409517098 7.20767046100913 5.80469579034407
"93" -0.062270623518562 1.27766301878698 0.878766089094337 -0.647398455097806 -1.45508608082562 -0.0299927110107491 -1.1353020615639 -1.48408176420126 1.00008066260082 3.52370016842614 0.494 -2.09352104926675 9.22621896649607 2.82101385454415 -1.29385095336944 6.93587866245774 3.33219579846128 0.365637481285393 6.29875411563716 6.25522665684593
"95" -0.062270623518562 0.359581807682563 0.878766089094337 -1.03237275941761 -1.4481927152107 -1.57651952065057 -1.40798738390789 0.954435758311492 1.00008066260082 4.79510649635473 0.533 -1.2414659773049 10.7201838719255 3.11673815901165 -0.388583923841834 6.62206024186514 3.68009016606759 0.521241361506036 6.83893897062915 2.82906858051329
"97" -0.062270623518562 1.27766301878698 -1.46071101997545 -1.03237275941761 -1.01391068147067 0.0974099552296023 1.55829685427312 0.344806377683303 -0.465883369355819 4.63560601483046 0.484 -1.29078065295926 10.3828323572275 4.14197895443842 -0.0578864170868405 8.34184432596368 7.93859306931285 4.23403207147572 11.64315406715 9.45139276464606
"98" -0.062270623518562 1.27766301878698 -1.46071101997545 0.892498762181415 -1.02769741270051 0.125721658838569 1.23905550128503 -0.264823002944885 0.267098646622499 4.62618862393594 0.529 -0.801577284020305 10.3604325153329 3.49406134514274 -1.36911798557338 8.35724067585887 1.38878126708371 -1.79234616514358 4.569908699311 5.66492882004402
"99" -0.062270623518562 0.359581807682563 -1.46071101997545 -0.647398455097806 -1.00012395024083 -1.32525315112099 0.946417594379277 -1.48408176420126 -0.465883369355819 4.95464532942709 0.529 -0.951474078612674 11.0094105958142 6.68168672282097 4.5852941431933 8.77807930244864 9.27042946101873 6.91007695428464 11.6307819677528 8.35324239212283
"100" -0.062270623518562 0.359581807682563 -1.46071101997545 -0.262424150778001 -1.02080404708559 -1.45619478031246 0.667081410514698 1.56406513893968 0.267098646622499 3.85110277683006 0.511 -2.6003506608121 9.4679900509893 6.75647478915652 3.32814257333384 10.1848070049792 4.26013732380786 1.22963347055359 7.29064117706213 4.07291342479446
